Search Term,Match Score,Status,Date Filed,Expires,Filings Completed Through,UCC Number,Filing Events,Secured Parties Count,Secured Party 1 Name,Secured Party 1 Address,Secured Party 2 Name,Secured Party 2 Address,Secured Party 3 Name,Secured Party 3 Address,Secured Party 4 Name,Secured Party 4 Address,Secured Party 5 Name,Secured Party 5 Address,Debtor Parties Count,Debtor Name,Debtor Address,Document Type,Document Pages
"102 BERGEN STREET, LLC",1.00,Filed,10/03/2017,10/03/2027,02/23/2026,201702817561,1,1,INVESTORS BANK,"ATTN: LOAN SERVICING, 101 JFK PARKWAY, SHORT HILLS , NJ, 07078",,,,,,,,,3,"102 BERGEN STREET, LLC","2000 SOUTH OCEAN BLVD., APT. 307S , PALM BEACH , FL, 33480",UCC1,10
1030SOCEAN LLC,1.00,Lapsed,06/19/2018,06/19/2023,02/23/2026,201805594719,1,1,BI 35 LLC,"2601 S. BAYSHORE DRIVE, SUITE 1200, MIAMI, FL, 33133",,,,,,,,,3,1030SOCEAN LLC,"1030 S. OCEAN BOULEVARD, PALM BEACH, FL, 33480",UCC1,6
1030SOCEAN LLC,1.00,Lapsed,06/26/2019,06/26/2024,02/23/2026,201908978455,1,1,"KHRE SMA FUNDING, LLC","777 WEST PUTNAM AVENUE, SUITE 1-3, GREENWICH, CT, 06830",,,,,,,,,1,1030SOCEAN LLC,"125 WORTH AVENUE, SUITE 200, PALM BEACH, FL, 33480",UCC1,1
"106 W RIVERSIDE, LLC",1.00,Filed,03/31/2023,03/31/2028,02/23/2026,202300878508,1,1,FLAGLER BANK,"555 NORTHLAKE BOULEVARD, SUITE 200, NORTH PALM BEACH, FL, 33408",,,,,,,,,1,"106 W RIVERSIDE, LLC","400 VILLAGE SQUARE CROSSING, SUITE 3, PALM BEACH GARDENS, FL, 33410",UCC1,2
10X MEDIA LLC,0.00,No close match,,,,,,,,,,,,,,,,,,,,,
"110 WELLS ROAD, LLC",1.00,Lapsed,12/15/2008,12/15/2013,02/23/2026,200809702574,2,1,"WELLS FARGO BANK, NATIONAL ASSOCIATION","333 SOUTH GRAND AVENUE, 9TH FLOOR, LOS ANGELES, CA, 90071",,,,,,,,,1,"110 WELLS ROAD, LLC","411 7TH STREET, SUITE B6, WEST PALM BEACH, FL, 33401",UCC1,2
"110 WELLS ROAD, LLC",1.00,Lapsed,12/15/2008,12/15/2013,02/23/2026,200809702566,0,2,LEIBOVIT JOANNE N.,"1617 N. FLAGLER DRIVE, NO. 11A, WEST PALM BEACH, FL, 33407",PAIGE DONALD,"101 ARCH STREET, 12TH FLOOR, BOSTON, MA, 02210",,,,,,,1,"110 WELLS ROAD, LLC","411 7TH STREET, SUITE B-6, WEST PALM BEACH, FL, 33401",UCC1,3
"111 SEAGATE VENTURE, L.L.C.",0.00,No close match,,,,,,,,,,,,,,,,,,,,,
"111 SEAGATE VENTURE, L.L.C.",0.00,No close match,,,,,,,,,,,,,,,,,,,,,
"1141 NORTH LAKE WAY, INC.",0.00,No results,,,,,,,,,,,,,,,,,,,,,
"1205 AND 1209 SE 2ND STREET, LLC",1.00,Lapsed,10/21/2020,10/21/2025,02/23/2026,202005109787,0,1,"KENNETH E. FABRY MARITAL DEDUCTION TRUST A DATED APRIL 30, 2004","3149 HWY H, LAC DU FLAMBEAU, WI, 54538",,,,,,,,,1,"1205 AND 1209 SE 2ND STREET, LLC","PO BOX 7415, FORT LAUDERDALE, FL, 33338",UCC1,2
1207 SPANISH RIVER LLC,1.00,Lapsed,10/01/2001,10/01/2006,02/23/2026,200190018737,1,1,PALM BEACH NATIONAL BANK & TRUST COMPANY,"125 WORTH AVENUE, PALM BEACH, FL, 33480",,,,,,,,,1,"1207 SPANISH RIVER, LLC","205 VIA TORTUGA, PALM BEACH, FL, 33480",UCC1,2
"1240 NE 13TH AVENUE, LLC",1.00,Lapsed,10/21/2020,10/21/2025,02/23/2026,202005109701,0,1,"KENNETH E. FABRY MARITAL DEDUCTION TRUST A DATED APRIL 30, 2004","3149 HWY H, LAC DU FLAMBEAU, WI, 54538",,,,,,,,,1,"1240 NE 13TH AVENUE, LLC","PO BOX 7415, FORT LAUDERDALE, FL, 33338",UCC1,2
"1241 NE 14TH AVENUE, LLC",1.00,Lapsed,10/21/2020,10/21/2025,02/23/2026,202005109671,0,1,"KENNETH E. FABRY MARITAL DEDUCTION TRUST A DATED APRIL 30, 2004","3149 HWY H, LAC DU FLAMBEAU, WI, 54538",,,,,,,,,1,"1241 NE 14TH AVENUE, LLC","PO BOX 7415, FORT LAUDERDALE, FL, 33338",UCC1,2
"12450 CENTRAL BLVD., LLC",1.00,Filed,02/02/2024,02/02/2029,02/23/2026,202400295121,0,1,CONNECTONE BANK,"301 SYLVAN AVENUE, ENGLEWOOD CLIFFS, NJ, 07632",,,,,,,,,1,"12450 CENTRAL BLVD., LLC","340 ROYAL POINCIANA WAY, SUITE 317-220, PALM BEACH, FL, 33480",UCC1,7
